jobtitle|company|city|state|date|snippet|url|latitude|longitude|formattedRelativeTime
Risk Analyst|Funding Circle|San Francisco|CA|Thu, 14 Jan 2016 10:16:15 GMT|Our Risk Team are quantitative analysts who can extract meaningful business insights from customer data and leverage predictive models to create decision...|http://www.indeed.com/viewjob?jk=0dc9ab72010130db&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.774727|-122.41758|1 day ago
Analyst, Data Scientist, Customer Insights (macys.com)|Macy's|San Francisco|CA|Fri, 15 Jan 2016 00:57:51 GMT|Define data needs, evaluate data quality, and extract/manipulate data in a ‘Big Data’ environment. The Analyst, Data Scientist function enables and empowers...|http://www.indeed.com/viewjob?jk=6313068dd0230a67&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.774727|-122.41758|1 day ago
BlackRock Risk Analytics & Performance Reporting Analyst|BlackRock|Wilmington|DE|Tue, 27 Oct 2015 09:56:33 GMT|BlackRock Risk Analytics &amp; Performance Reporting Analyst. Technical skills (SQL, UNIX, Python and PERL) are preferred but not necessary....|http://www.indeed.com/viewjob?jk=31a661e40533e3d1&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|39.744507|-75.54395|30+ days ago
Associate, Data Analyst|Global Strategy Group|New York|NY|Sat, 16 Jan 2016 00:42:05 GMT|High comfort level with quantitative data and analysis. Process survey data, produce toplines and crosstabulations, and perform quantitative analyses....|http://www.indeed.com/viewjob?jk=ba09fa69a0844759&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|40.73886|-73.990036|4 hours ago
Entry Level Big Data Analyst - Will Train!|Compete|Boston|MA|Thu, 07 Jan 2016 11:28:55 GMT|Convert data into business intelligence. Passionate love for data and a curious mind. Better yet, we’re looking for passionate data junkies to join our team....|http://www.indeed.com/viewjob?jk=7844503a6ae28e4d&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|42.346153|-71.07143|8 days ago
Data Analyst|Smule|San Francisco|CA|Wed, 13 Jan 2016 00:19:37 GMT|As a data analyst at Smule, you will convert business questions into actionable insights to help drive business directions....|http://www.indeed.com/viewjob?jk=22e65bd399edd934&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.774727|-122.41758|3 days ago
Analyst, Fraud & Verification Strategy|Prosper|San Francisco|CA|Thu, 17 Sep 2015 05:09:26 GMT|The analyst uses strategic thinking, programming skills, data science and a collaborative approach to help optimize fraud detection....|http://www.indeed.com/viewjob?jk=13cee6ded9dd5484&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.774727|-122.41758|30+ days ago
Data Analyst|GSN Games|San Francisco|CA|Thu, 14 Jan 2016 01:02:41 GMT|4+ years of experience in a data analyst, financial analyst, scientist or similar role performing quantitative, statistical or financial analysis....|http://www.indeed.com/viewjob?jk=5a36e94b1a5bdc9a&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|37.774727|-122.41758|2 days ago
Quantitative Data Analyst|Workiva Inc.|Ames|IA|Thu, 14 Jan 2016 02:27:14 GMT|Work with large, complex data sets. Research responsibilities will include exploratory data analysis, data visualization, and developing measurement metrics to...|http://www.indeed.com/viewjob?jk=58ce23222f5f6445&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|42.032967|-93.61539|2 days ago
Jr. Platform Data Analyst|1010data|Houston|TX|Wed, 13 Jan 2016 21:53:09 GMT|Create data table transformations, perform data validation. As a Platform Data Analyst, you build these solutions for and relationships with our customers....|http://www.indeed.com/viewjob?jk=5576fded54aa54e5&qd=0bN3bKJa0ozlWmp75rD-nfCjp_DZT7rspGadx5vqJsxBsmW8qZSCKKjy1u_41gruZEKCkZ3Q2dVXiFdvXxzu4MeaANB6I2kJDZngGwoNNK2jvWqIQH7QQfDngTRe4W6yQY5WkJIIgabS8vDSSHrUPoFoYMgFQvWRigFmwwOfwuEOdTHBK1pdTUqcMkUSeHZJlPbofnXk7S4DJxOKu6QY739z_dwVotiQDziUxxJJzO_9-omJfffSnf5FyAl4o_LnMmgmz4cYdLJMc_YzRleGpdXGqiUiUCxIMQ_34_gLPpSVWcIXdZ0xL9rKh7eQSgMD6Ui8oW3w8OXCAIrl3FvO7HSQg9COLbXaMRraensxbCDa8SwikJvDzcQPO014A7j6xrduDOSopTDeAevU4kah5I6ahoblcmRHUYUe81pxqY8&indpubnum=7116981571348601&atk=1a94cgqcsbq6acdk|29.760988|-95.36264|2 days ago
