lat,amenity,lon,name
30.2915028,atm,-97.734911,University Federal Credit Union
30.2925357,pub,-97.735633,Crown and Anchor
30.2778151,pub,-97.7363223,Schultz's Beer Garden
30.141048,post_office,-97.8275752,Post Office
30.6653739,fire_station,-97.9107804,Liberty Hill Fire Department
30.2834107,place_of_worship,-97.7400756,University Catholic Center
30.5361798,veterinary,-97.8359183,Block House Veterinary Hospital
30.2656956,pub,-97.7434073,The Elephant Room
30.268574,cafe,-97.7423667,The Hideout
30.2682668,cafe,-97.7429695,Starbucks Coffee
30.271876,cafe,-97.7411784,Starbuck's
30.4435595,fuel,-97.7417023,Exxon
30.1670069,fast_food,-97.7926409,Chik-Fil-A
30.1638137,fast_food,-97.7905315,Subway
30.1661438,fast_food,-97.7879823,Whataburger
30.1741875,pharmacy,-97.8228982,Walgreens
30.2420102,place_of_worship,-97.763337,San Jose
30.2401193,place_of_worship,-97.7549513,St. Ignatius, Martyr
30.0879912,grave_yard,-97.8377827,Allen Cemetery
30.3052068,nursing home,-97.7605618,Austin State Supported Living Center
30.3310392,grave_yard,-97.7516732,Austin Memorial Park
30.3040961,school,-97.7355612,Baker School
30.2743149,hospital,-97.7324471,Brackenridge Hospital
30.2677105,grave_yard,-97.5088876,Brown Cemetery
30.2690992,grave_yard,-97.5230548,Brown Cemetery
30.0310501,place_of_worship,-97.7025013,Center Union Church
30.0779917,place_of_worship,-97.8300046,Center Union Church
30.2818744,school,-97.7641726,Clarksville School
30.1446599,school,-97.3741608,Colorado School
30.161603,place_of_worship,-97.5052755,Cottonwood Church
30.2629869,school,-97.7050041,Daughters of Saint Joseph School
30.2927073,school,-97.7636172,Dill School
30.1652066,grave_yard,-98.185847,Dye Cemetery
30.2829848,school,-97.811118,Eanes School
30.2668772,grave_yard,-97.509721,Easley Cemetery
30.1054943,school,-97.4286063,Elm Grove School
30.336875,school,-97.4444422,Elm Grove School
30.2474274,grave_yard,-98.0272327,Fitzhugh Cemetery
30.1824354,grave_yard,-97.539721,Fowler Cemetery
30.1590983,place_of_worship,-97.9544524,Friendship Church
30.1188201,grave_yard,-98.1325117,Gatlin-Garrett Cemetery
30.2532664,grave_yard,-97.5322214,Glasscock Cemetery
30.1621596,school,-97.3199927,Grimes School
30.1907683,grave_yard,-97.5583327,Haynie Cemetery
30.3052099,grave_yard,-97.3849957,Hog Eye Cemetery
30.1068829,place_of_worship,-97.4697185,Hopewell Church
30.0985498,school,-97.4605516,Hopewell School
30.2632645,school,-97.7222268,Huston Tillotson College
30.1619266,grave_yard,-97.5552016,Ingram Cemetery
30.0254905,grave_yard,-98.1291771,Jacobs Well Cemetery
30.1563205,grave_yard,-97.9583414,Johnson Cemetery
29.9629948,grave_yard,-97.8966714,Kyle Cemetery
30.3729846,school,-97.4733324,Kimbro School
29.9702168,grave_yard,-97.8952826,Kyle Cemetery
29.949663,grave_yard,-97.7902804,Live Oak Cemetery
30.2821544,grave_yard,-97.5030544,Lockwood Cemetery
30.0779952,school,-97.4213837,Long Branch School
30.3440959,school,-97.5727794,Manor High School
30.224371,grave_yard,-98.1802921,Martin Cemetery
30.032716,place_of_worship,-97.7786141,Martin Church
30.1863173,grave_yard,-98.1425128,McKellar Cemetery
30.1838173,grave_yard,-98.1558465,Middlebrooks Cemetery
30.22826,grave_yard,-98.1555693,Moore Cemetery
30.3390983,grave_yard,-97.2783263,Morgan Chapel Cemetery
30.3552083,grave_yard,-97.3530508,Mount Moriah Cemetery
30.1052165,place_of_worship,-97.4294397,Mount Olive Church
30.0349406,place_of_worship,-97.5069411,Mount Pleasant Church
30.3513201,school,-97.2672148,Mount Pleasant School
30.1004868,grave_yard,-98.2075133,Mount Sharp Cemetery
